tran_no,line_no,tran_date,fb_id,tran_currency,supp_code,Supplier Name,comments,expense_category,expense,usage,cost_center,Cost Center Desc,analysis_code,Analysis Desc,subanalysis_code,Sub Analsysi Desc,remarks,destn_fbid,destn_usage,UniqueId,,,
AEXP-000731-2018,12,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,GREGORY THOMAS CRAIG,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1326,,,
AEXP-000731-2018,13,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,RODNEY CUTHBERTSON,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1327,,,
AEXP-000731-2018,14,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ERIC DALE,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1328,,,
AEXP-000731-2018,15,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,CHRISTOPHER DALMAZZO,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1329,,,
AEXP-000731-2018,16,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,CAROLYN DITTMAR,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1330,,,
AEXP-000731-2018,17,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,KATHERINE SUSAN DIVALL,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1331,,,
AEXP-000731-2018,18,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,KENNETH DOLAN,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1332,,,
AEXP-000731-2018,19,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,JAIMIE DOLLING,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1333,,,
AEXP-000731-2018,20,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,TIMOTHY DORE,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1334,,,
AEXP-000731-2018,21,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,SIMON DOUGLASS,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1335,,,
AEXP-000731-2018,22,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,RUSSELL PETER DYER,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1336,,,
AEXP-000731-2018,23,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,GLEN ERSKINE,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1337,,,
AEXP-000731-2018,24,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,SIMON JAMES EWART,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1338,,,
AEXP-000731-2018,25,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,MATTHEW JAMES FISHER,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1339,,,
AEXP-000731-2018,26,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,NICHOLAS ANDREW FUGGLE,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1340,,,
AEXP-000731-2018,27,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,CLARK GALLAGHER,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1341,,,
AEXP-000731-2018,28,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,SHANDELLE GAMEAU,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1342,,,
AEXP-000731-2018,29,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,KIM EDWARD GASKELL,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1343,,,
AEXP-000731-2018,30,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,BRETT HARRISON,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1344,,,
AEXP-000731-2018,31,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,MARTIN HERRLING,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1345,,,
AEXP-000731-2018,32,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ROBERT HEWITSON,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1346,,,
AEXP-000731-2018,33,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,PAUL JAMES HILL,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1347,,,
AEXP-000731-2018,34,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,COLIN HOLMES,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1348,,,
AEXP-000731-2018,35,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ANDREW HOLT,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1349,,,
AEXP-000731-2018,36,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,PETER HUBBARD,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1350,,,
AEXP-000731-2018,37,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ANDREW GEORGE HUTTON,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1351,,,
AEXP-000731-2018,38,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,MARK JAMIESON,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1352,,,
AEXP-000731-2018,39,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,DARREN JUSTICE,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1353,,,
AEXP-000731-2018,40,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ERIC KARIUKI,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1354,,,
AEXP-000731-2018,41,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ADAM KETT,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1355,,,
AEXP-000731-2018,42,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ANDREW LOCKETT,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1356,,,
AEXP-000731-2018,43,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,MEILIN MARIANNE LOI,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1357,,,
AEXP-000731-2018,44,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,NICHOLAS JOHN MAIR,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1358,,,
AEXP-000731-2018,45,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,MR GRAHAM KEITH MANNING,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1359,,,
AEXP-000731-2018,46,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,GRAEME MARRIOTT,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1360,,,
AEXP-000731-2018,47,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,GEOFFREY MARSHALL,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1361,,,
AEXP-000731-2018,48,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,DANA MARTIN,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1362,,,
AEXP-000731-2018,49,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,SIMON MCDONALD,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1363,,,
AEXP-000731-2018,50,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,GRAEME MCGREGOR,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1364,,,
AEXP-000731-2018,51,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,PAUL DANIEL MCLAUGHLIN,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1365,,,
AEXP-000731-2018,52,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,NOELENE MCWHIRTER,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1366,,,
AEXP-000731-2018,53,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,SUMA MENON,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1367,,,
AEXP-000731-2018,54,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,KENNETH JOHN MILLAR,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1368,,,
AEXP-000731-2018,55,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,MICHAEL NATHAN MINES,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1369,,,
AEXP-000731-2018,56,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,STEPHEN MOIR,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1370,,,
AEXP-000731-2018,57,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ANTHONY MONAGHAN,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1371,,,
AEXP-000731-2018,58,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,BRADLEY MORTIMER,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1372,,,
AEXP-000731-2018,59,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,PETER WAYNE NOTTAGE,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1373,,,
AEXP-000731-2018,60,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,PETER O'HIGGINS,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1374,,,
AEXP-000731-2018,61,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,WAYNE GILBERT OVENS,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1375,,,
AEXP-000731-2018,62,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ROBERT PATERSON,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1376,,,
AEXP-000731-2018,63,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ANTHONY FRANCIS PATTERSON,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1377,,,
AEXP-000731-2018,64,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ADRIAN ROBERT PETTIFOR,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1378,,,
AEXP-000731-2018,65,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,STEPHEN JOHN PIRIE,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1379,,,
AEXP-000731-2018,66,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,KIM PRIEST,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1380,,,
AEXP-000731-2018,67,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,MICHELLE RADFORD,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1381,,,
AEXP-000731-2018,68,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,DAN RAYNER,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1382,,,
AEXP-000731-2018,69,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,JESSICA REDFERN,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1383,,,
AEXP-000731-2018,70,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,STEPHEN REYNOLDS,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,,,
AEXP-000731-2018,71,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,KELLIE ANN ROSS,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1385,,,
AEXP-000731-2018,72,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,JASON SCHULTZ,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1386,,,
AEXP-000731-2018,73,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,RICHARD SHAW,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1387,,,
AEXP-000731-2018,74,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,NIMSHAN SIRIWARDENA,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1388,,,
AEXP-000731-2018,75,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,TRENT SKAROTT,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1389,,,
AEXP-000731-2018,76,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,THOMAS HENRY SMALLWOOD,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1390,,,
AEXP-000731-2018,77,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,JAMES MACDONALD SPARK,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391,,,
AEXP-000731-2018,78,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,NEIL KEVIN SUTCLIFFE,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1392,,,
AEXP-000731-2018,79,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,PHILIP TUCK,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1393,,,
AEXP-000731-2018,80,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,DANIEL ULLMER,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1394,,,
AEXP-000731-2018,81,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,LUKE VIVARELLI,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1395,,,
AEXP-000731-2018,82,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,CRAIG WATSON,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1396,,,
AEXP-000731-2018,83,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,JEREMY JOHN WEDRAT,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1397,,,
AEXP-000731-2018,84,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,ANDREW WHEATLAND,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1398,,,
AEXP-000731-2018,85,24/02/2018,L018-NJSP,AUD,AS000612,DINERS CLUB INTERNATIONAL,N.FUGGLE THEN P.NOTTAGE - FEB18 COMPANY CREDIT CARDS,OVERHDS LOW - FIN,LYNDIE WREN,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1399,,,
AEXP-000732-2018,1,24/02/2018,L008-JSPL,USD,AS002049,GOODRICH AEROSTRUCTURES,Attn Tim Cronk Please refer RO180017,OVERHDS HIGH -TECH,1211534-003 Actuator,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1400,,,
AEXP-000733-2018,1,26/02/2018,L017-NJEP,AUD,AS000682,EMERGE ENGINEERING & MAINTENANCE,ATT: SAM HARDY,DIRECTOPSSPEND -COMM,TUG 2 HAND BRAKE REPAIR,DIR REPAIRS & MAINT,AU-PER,Perth - Location,CA401,Regional,FM999,FM-Default SAC,NULL,NULL,NULL,1401,,,
AEXP-000734-2018,1,26/02/2018,L017-NJEP,AUD,AS000682,EMERGE ENGINEERING & MAINTENANCE,NULL,DIRECTOPSSPEND -COMM,MAJOR SERVICE FEBRUARY,DIR REPAIRS & MAINT,AU-PER,Perth - Location,CA401,Regional,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,1402,,,
